26895,Aspen,20,111561.0,899.0
28258,Adrian,24,99997.0,834.0
15744,Izabella,21,119509.0,943.0
41831,Elliot,24,93837.0,665.0
13307,Elliana,18,110822.0,1002.0
17655,Nevaeh,21,79644.0,561.0
23607,Evelyn,23,110709.0,827.0
40133,Graysen,20,111991.0,818.0
29228,Lola,23,96094.0,741.0
15073,Ember,19,122845.0,980.0
26389,Atticus,22,73730.0,684.0
16782,Grace,20,94203.0,737.0
2770,Emerson,19,83568.0,759.0
40411,Aurora,22,85024.0,757.0
49391,Kaydence,23,100912.0,841.0
27373,Randy,20,101557.0,780.0
36007,Jasmine,22,107300.0,768.0
20713,Isla,23,109122.0,746.0
49235,Tanner,18,99867.0,810.0
2081,Ari,23,106009.0,686.0
36445,Callum,19,95737.0,805.0
3783,Amber,21,101938.0,805.0
38099,Levi,24,98165.0,775.0
35614,Haven,20,118320.0,961.0
30019,Esther,18,106132.0,778.0
9521,Aidan,22,94799.0,790.0
13944,Eden,18,102392.0,734.0
11424,Lucas,20,93141.0,734.0
7275,Mae,21,95741.0,807.0
20900,Leon,18,109601.0,846.0
34944,Scarlet,22,96231.0,739.0
3233,Elias,24,119865.0,951.0
43566,Elias,23,99327.0,885.0
26751,Eleanor,18,111376.0,873.0
40769,Heaven,21,81354.0,720.0
43893,Nova,24,89995.0,762.0
48772,Chloe,22,104947.0,795.0
41358,Daniella,20,128455.0,980.0
6621,Zayne,18,111559.0,859.0
11830,Nehemiah,22,107122.0,920.0
14882,Conrad,19,111632.0,824.0
38491,Landen,22,100343.0,950.0
14865,Mariah,19,97078.0,845.0
37663,Paige,24,109041.0,851.0
33498,Amelia,21,96491.0,742.0
11066,Kaiya,21,94890.0,726.0
1834,Valentina,22,102780.0,862.0
41528,Ada,19,106820.0,809.0
36297,Helena,20,101163.0,862.0
13881,Zachary,19,106784.0,854.0
3522,Kenna,23,116779.0,861.0
2098,Freya,23,93426.0,728.0
11541,Allison,18,76526.0,651.0
42120,Abel,22,112282.0,845.0
23189,Cameron,20,113802.0,982.0
38731,Emely,20,82786.0,717.0
13196,Barrett,24,112962.0,882.0
11921,Annabelle,22,88125.0,683.0
10105,Sophie,18,108478.0,787.0
23199,Cullen,19,82747.0,717.0
31831,Winter,20,111092.0,905.0
4464,Roselyn,23,79780.0,741.0
17827,Alina,19,112048.0,864.0
37165,Jax,18,101681.0,745.0
1521,Anne,24,99610.0,792.0
21814,Annabelle,20,116521.0,856.0
33152,Colby,24,102541.0,902.0
36672,Hailey,22,85689.0,748.0
36201,Ada,20,88600.0,676.0
30470,Madison,20,97540.0,784.0
30252,Leif,18,124052.0,928.0
19240,Anderson,22,96877.0,686.0
2,Olivia,23,86447.0,667.0
42788,Claire,19,111806.0,906.0
20448,Kellen,22,115210.0,884.0
7281,Alayna,19,86242.0,737.0
19822,Abigail,23,119596.0,885.0
11429,Amelia,23,104427.0,683.0
17357,Keaton,20,108432.0,874.0
25570,Reese,22,94866.0,727.0
5255,Priscilla,20,107297.0,846.0
21927,Zain,23,111840.0,812.0
31300,Robert,18,78280.0,655.0
30911,Milo,24,87711.0,671.0
33722,Josephine,20,85327.0,649.0
38607,Lachlan,21,92463.0,758.0
29375,Reese,24,96818.0,788.0
30924,Rosalie,20,106775.0,782.0
12390,Rosalie,20,103632.0,921.0
24950,Ellianna,18,111233.0,954.0
3650,Dahlia,24,87170.0,736.0
22767,Lennon,24,97061.0,761.0
3705,Joyce,22,108458.0,842.0
42394,Cairo,24,106742.0,808.0
16799,Isaac,22,90571.0,758.0
23139,Leonardo,20,113526.0,790.0
40659,Ophelia,21,108803.0,809.0
35554,Cassidy,21,94881.0,747.0
40921,Mallory,24,106638.0,909.0
23322,Gracie,22,110049.0,874.0
28939,Daniel,19,80045.0,663.0
18894,Winter,22,96871.0,749.0
27064,Colby,21,95152.0,779.0
46222,Everleigh,23,103810.0,843.0
42138,Peter,21,78992.0,691.0
950,Elias,21,111835.0,839.0
2985,Ridge,21,99505.0,821.0
30882,Macy,20,92752.0,702.0
47741,Ari,19,124731.0,927.0
11224,Lilah,21,107290.0,838.0
38047,Jensen,24,105607.0,804.0
3990,Roman,23,93331.0,721.0
7777,Grayson,22,94797.0,698.0
39130,Damon,20,97552.0,783.0
15964,Tatum,24,90180.0,803.0
43208,Amina,23,95247.0,743.0
6864,Michael,23,103117.0,854.0
10659,James,22,105842.0,785.0
5215,Camilla,24,86288.0,835.0
9947,Nora,19,111296.0,745.0
30901,Anaya,18,119923.0,880.0
24362,Mia,22,109856.0,855.0
14954,Drew,22,90320.0,725.0
42434,Rhys,22,116378.0,935.0
1625,Leo,20,92400.0,681.0
41092,Mag,21,100667.0,869.0
47752,Lilah,18,99691.0,755.0
2936,Hallie,20,100110.0,874.0
12509,Dexter,18,93464.0,712.0
19840,Nora,22,103316.0,864.0
